,JPM
2009-07-17,1504070.0
2009-07-20,1504160.0
2009-07-21,1504200.0
2009-07-22,1504300.0
2009-07-23,1505550.0
2009-07-24,1505770.0
2009-07-27,1505970.0
2009-07-28,1506010.0
2009-07-29,1506310.0
2009-07-30,1506980.0
2009-07-31,1507150.0
2009-08-03,1508050.0
2009-08-04,1508630.0
2009-08-05,1510130.0
2009-08-06,1511110.0
2009-08-07,1512640.0
2009-08-10,1512950.0
2009-08-11,1514330.0
2009-08-12,1515260.0
2009-08-13,1515910.0
2009-08-14,1516340.0
2009-08-17,1517970.0
2009-08-18,1518890.0
2009-08-19,1519170.0
2009-08-20,1520140.0
2009-08-21,1521320.0
2009-08-24,1521940.0
2009-08-25,1522480.0
2009-08-26,1522750.0
2009-08-27,1522900.0
2009-08-28,1523410.0
2009-08-31,1523930.0
2009-09-01,1525640.0
2009-09-02,1526410.0
2009-09-03,1527600.0
2009-09-04,1527820.0
2009-09-08,1528010.0
2009-09-09,1528310.0
2009-09-10,1528470.0
2009-09-11,1528970.0
2009-09-14,1530160.0
2009-09-15,1530690.0
2009-09-16,1532080.0
2009-09-17,1532370.0
2009-09-18,1532380.0
2009-09-21,1532760.0
2009-09-22,1534590.0
2009-09-23,1535930.0
2009-09-24,1536590.0
2009-09-25,1537270.0
2009-09-28,1538370.0
2009-09-29,1538440.0
2009-09-30,1539450.0
2009-10-01,1541780.0
2009-10-02,1542290.0
2009-10-05,1544140.0
2009-10-06,1545200.0
2009-10-07,1545950.0
2009-10-08,1546330.0
2009-10-09,1546850.0
2009-10-12,1547070.0
2009-10-13,1547470.0
2009-10-14,1548900.0
2009-10-15,1548900.0
2009-10-16,1549950.0
2009-10-19,1550020.0
2009-10-20,1550060.0
2009-10-21,1551370.0
2009-10-22,1552380.0
2009-10-23,1552840.0
2009-10-26,1554180.0
2009-10-27,1554250.0
2009-10-28,1555410.0
2009-10-29,1557000.0
2009-10-30,1559450.0
2009-11-02,1560220.0
2009-11-03,1560330.0
2009-11-04,1560800.0
2009-11-05,1562390.0
2009-11-06,1562770.0
2009-11-09,1563600.0
2009-11-10,1563770.0
2009-11-11,1563920.0
2009-11-12,1564900.0
2009-11-13,1565280.0
2009-11-16,1565420.0
2009-11-17,1565530.0
2009-11-18,1565740.0
2009-11-19,1566530.0
2009-11-20,1566620.0
2009-11-23,1567400.0
2009-11-24,1568160.0
2009-11-25,1568460.0
2009-11-27,1569250.0
2009-11-30,1570350.0
2009-12-01,1570610.0
2009-12-02,1570880.0
2009-12-03,1571390.0
2009-12-04,1571720.0
2009-12-07,1572190.0
2009-12-08,1572230.0
2009-12-09,1572250.0
2009-12-10,1572330.0
2009-12-11,1572630.0
2009-12-14,1573410.0
2009-12-15,1574280.0
2009-12-16,1574760.0
2009-12-17,1575800.0
2009-12-18,1576440.0
2009-12-21,1577350.0
2009-12-22,1577390.0
2009-12-23,1577750.0
2009-12-24,1578060.0
2009-12-28,1578220.0
2009-12-29,1578440.0
2009-12-30,1578480.0
2009-12-31,1578610.0
